"Year","Innings","Runs","Balls","Outs","Avg","SR","HS","50","100","4s","6s","Dot %"
"2010","1","26","21","0","","123.80952380952381","26","0","0","3","1","42.857142857142854"
"2011","4","61","52","4","15.25","117.3076923076923","28","0","0","10","0","42.30769230769231"
"2012","13","471","355","12","39.25","132.67605633802816","78","4","0","57","7","30.704225352112676"
"2013","1","29","22","1","29","131.8181818181818","29","0","0","2","1","31.818181818181817"
"2014","7","385","288","4","96.25","133.68055555555554","77","5","0","33","11","26.73611111111111"
"2015","2","44","28","2","22","157.14285714285714","43","0","0","1","3","7.142857142857143"
"2016","13","641","457","6","106.83333333333333","140.26258205689277","90","7","0","70","9","29.102844638949673"
"2017","10","299","196","8","37.375","152.55102040816325","82","2","0","32","8","24.489795918367346"
"2018","9","211","173","7","30.142857142857142","121.96531791907515","61","1","0","10","8","33.52601156069364"
"2019","10","466","315","6","77.66666666666667","147.93650793650792","94","5","0","29","23","24.444444444444443"
"2020","9","295","208","8","36.875","141.82692307692307","85","1","0","18","10","20.673076923076923"
"2021","8","299","225","4","74.75","132.88888888888889","80","4","0","25","10","30.22222222222222"
"2022","20","781","565","14","55.785714285714285","138.23008849557522","122","8","1","66","26","29.02654867256637"
"2024","10","180","151","10","18","119.20529801324503","76","1","0","13","7","39.735099337748345"
